	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
P1	0	1	0	0	0	1	0	0	0	0	0	0
P2	1	0	0	0	0	0	1	1	0	0	1	0
P3	1	0	1	0	0	0	1	0	0	0	0	0
P4	0	1	0	0	0	0	1	1	0	0	0	0
P5	0	0	0	1	0	0	1	1	0	0	0	1
P6	0	0	0	0	0	0	0	0	0	1	0	0
P7	0	1	0	0	1	0	0	0	0	1	0	0
P8	0	1	0	0	0	0	1	0	1	1	1	0
P9	0	0	0	0	1	0	1	1	0	0	0	0
P10	0	0	0	0	0	0	0	1	0	1	0	1
P11	0	0	0	0	1	0	0	0	0	0	0	1
P12	0	0	0	0	0	1	1	0	0	0	0	1
P13	0	0	1	0	0	0	1	1	0	0	0	1
P14	0	0	0	0	1	1	0	1	0	0	0	1
P15	0	0	0	0	1	0	1	1	0	0	0	0
P16	1	0	0	0	0	0	1	0	0	0	0	1
P17	0	0	0	1	0	1	0	1	0	0	0	0
P18	1	0	0	0	1	0	1	0	0	0	0	0
